Local de residência (à data dos Censos 2021),Idade média (Ano) da população residente por Local de residência (à data dos Censos 2021); Decenal
União das freguesias de Anissó e Soutelo,51.38
União das freguesias de Anjos e Vilar do Chão,52.56
União das freguesias de Caniçada e Soengas,49.44
União das freguesias de Ruivães e Campos,55.16
União das freguesias de Ventosa e Cova,49.67
Vieira do Minho,45.43
Vila Nova de Famalicão,43.90
Bairro,48.74
Brufe,45.28
Castelões,43.43
Cruz,44.46
Delães,45.22
Fradelos,40.89
Gavião,45.73
Joane,43.09
Landim,44.56
Louro,45.19
Lousado,44.38
Mogege,42.65
Nine,42.90
Oliveira (Santa Maria),44.87
Oliveira (São Mateus),48.01
Pedome,44.48
Pousada de Saramagos,42.94
Requião,44.49
Riba de Ave,46.53
Ribeirão,42.08
União das freguesias de Antas e Abade de Vermoim,41.50
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,43.69
União das freguesias de Avidos e Lagoa,44.09
União das freguesias de Carreira e Bente,47.10
União das freguesias de Esmeriz e Cabeçudos,43.01
"União das freguesias de Gondifelos, Cavalões e Outiz",42.80
"União das freguesias de Lemenhe, Mouquim e Jesufrei",44.97
União das freguesias de Ruivães e Novais,46.35
União das freguesias de Seide,44.33
"União das freguesias de Vale (São Cosme), Telhado e Portela",44.35
União das freguesias de Vila Nova de Famalicão e Calendário,43.40
Vale (São Martinho),43.96
Vermoim,44.76
Vilarinho das Cambas,41.08
Vizela,42.90
Infias,43.24
Santa Eulália,41.90
União das freguesias de Caldas de Vizela (São Miguel e São João),44.29
União das freguesias de Tagilde e Vizela (São Paio),39.94
Vizela (Santo Adrião),42.59
Área Metropolitana do Porto,44.99
Arouca,45.85
Alvarenga,52.57
Chave,46.64
Escariz,44.21
Fermedo,45.94
Mansores,42.96
Moldes,47.01
Rossas,45.84
Santa Eulália,44.64
São Miguel do Mato,46.13
Tropeço,44.55
União das freguesias de Arouca e Burgo,45.41
União das freguesias de Cabreiros e Albergaria da Serra,54.17
União das freguesias de Canelas e Espiunca,45.52
União das freguesias de Covelo de Paivó e Janarde,55.83
Urrô,47.62
Várzea,43.47
Espinho,48.43
Espinho,48.93
Paramos,48.43
Silvalde,47.98
União das freguesias de Anta e Guetim,48.21
Gondomar,44.88
Baguim do Monte (Rio Tinto),44.02
Lomba,51.54
Rio Tinto,44.82
União das freguesias de Fânzeres e São Pedro da Cova,43.94
União das freguesias de Foz do Sousa e Covelo,47.47
"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",45.26
União das freguesias de Melres e Medas,46.10
Maia,43.60
Águas Santas,43.64
Castêlo da Maia,42.76
Cidade da Maia,44.03
Folgosa,43.62
Milheirós,44
Moreira,42.26
Nogueira e Silva Escura,42.02
Pedrouços,45.14
São Pedro Fins,44.90
Vila Nova da Telha,44.56
Matosinhos,45.53
"União das freguesias de Custóias, Leça do Balio e Guifões",45.60
União das freguesias de Matosinhos e Leça da Palmeira,45.34
"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",45.03
União das freguesias de São Mamede de Infesta e Senhora da Hora,45.94
Oliveira de Azeméis,46.12
Carregosa,44.78
Cesar,44.63
Fajões,45.54
Loureiro,45.45
Macieira de Sarnes,47.13
Ossela,48.16
São Martinho da Gândara,47.58
São Roque,46.55
União das freguesias de Nogueira do Cravo e Pindelo,46.25
"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",45.46
"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",46.57
Vila de Cucujães,47.41
Paredes,42.08
Aguiar de Sousa,44.46
Astromil,40.40
Baltar,42.91
Beire,42.63
Cete,42.86
Cristelo,40.71
Duas Igrejas,39.98
Gandra,40.64
Lordelo,43.44
Louredo,42.42
Parada de Todeia,42.68
Paredes,41.21
Rebordosa,42.96
Recarei,44.50
Sobreira,43.36
Sobrosa,43.47
Vandoma,40.75
Vilela,40.13
Porto,46.62
Bonfim,48.42
Campanhã,47.14
Paranhos,46.30
Ramalde,45.34
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",46.42
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",47.53
União das freguesias de Lordelo do Ouro e Massarelos,45.89
Póvoa de Varzim,43.97
Balazar,42.69
Estela,42.96
Laundos,44.56
Rates,43.17
"União das freguesias da Póvoa de Varzim, Beiriz e Argivai",44.27
União das freguesias de Aguçadoura e Navais,44.43
"União das freguesias de Aver-o-Mar, Amorim e Terroso",43.49
Santa Maria da Feira,44.80
Argoncilhe,45.20
Arrifana,47
Escapães,44.44
Fiães,47.11
Fornos,43.05
Lourosa,46.30
Milheirós de Poiares,45.06
Mozelos,43.46
Nogueira da Regedoura,43.80
Paços de Brandão,46.18
Rio Meão,45.55
Romariz,46.97
Sanguedo,44.12
Santa Maria de Lamas,46.50
São João de Ver,42.75
São Paio de Oleiros,47.56
União das freguesias de Caldas de São Jorge e Pigeiros,47.05
"União das freguesias de Canedo, Vale e Vila Maior",44.73
"União das freguesias de Lobão, Gião, Louredo e Guisande",44.37
"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",42.42
União de freguesias de São Miguel de Souto e Mosteirô,46.34
Santo Tirso,46.83
Agrela,46.88
Água Longa,43.81
Aves,47.12
Monte Córdova,43.95
Negrelos (São Tomé),48.48
Rebordões,48.94
Reguenga,48.19
Roriz,46.69
"União das freguesias de Areias, Sequeiró, Lama e Palmeira",48.23
Vila Nova do Campo,46.23
União das freguesias de Carreira e Refojos de Riba de Ave,46.20
União das freguesias de Lamelas e Guimarei,46.68
"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",47.36
Vilarinho,43.20
São João da Madeira,45.46
São João da Madeira,45.46
Trofa,44.07
Covelas,45.42
Muro,45.63
União das freguesias de Alvarelhos e Guidões,44.36
União das freguesias de Bougado (São Martinho e Santiago),44.23
União das freguesias de Coronado (São Romão e São Mamede),43.01
Vale de Cambra,48.37
Arões,56.81
Cepelos,51.48
Junqueira,52.90
Macieira de Cambra,47.91
Roge,50.07
São Pedro de Castelões,47.50
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",46.17
Valongo,43.53
Alfena,43.87
Ermesinde,45.16
União das freguesias de Campo e Sobrado,43.56
Valongo,40.86
Vila do Conde,43.95
Árvore,42.82
Aveleda,46.49
Azurara,43.01
Fajozes,45.13
Gião,43.81
Guilhabreu,45.41
Junqueira,45.55
Labruge,44.69
Macieira da Maia,41.19
Mindelo,44.30
Modivas,45.95
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",45.22
União das freguesias de Fornelo e Vairão,44.99
União das freguesias de Malta e Canidelo,43.79
União das freguesias de Retorta e Tougues,43.05
União das freguesias de Rio Mau e Arcos,43.71
União das freguesias de Touguinha e Touguinhó,43.26
União das freguesias de Vilar e Mosteiró,46.39
Vila Chã,44.52
Vila do Conde,43.47
Vilar de Pinheiro,45.10
Vila Nova de Gaia,44.73
Arcozelo,44.47
Avintes,45.49
Canelas,41.88
Canidelo,44.09
Madalena,45.08
Oliveira do Douro,44.75
São Félix da Marinha,44.37
União das freguesias de Grijó e Sermonde,44.31
União das freguesias de Gulpilhares e Valadares,44.50
União das freguesias de Mafamude e Vilar do Paraíso,46.04
União das freguesias de Pedroso e Seixezelo,44.31
"União das freguesias de Sandim, Olival, Lever e Crestuma",45.77
União das freguesias de Santa Marinha e São Pedro da Afurada,45.16
União das freguesias de Serzedo e Perosinho,44.71
Vilar de Andorinho,43.22
Alto Tâmega,52.15
Boticas,53.39
Alturas do Barroso e Cerdedo,57.19
Ardãos e Bobadela,54
Beça,50.73
Boticas e Granja,50.11
"Codessoso, Curros e Fiães do Tâmega",53.04
Covas do Barroso,57.71
Dornelas,59.33
Pinho,54.94
Sapiãos,56.17
