Local de residência (à data dos Censos 2021),"Taxa de emprego (%) por Local de residência (à data dos Censos 2021), Sexo e Grupo etário; Decenal"
Braga,54.34
Adaúfe,52.92
Braga (São Vicente),53.73
Braga (São Vítor),53
Espinho,52.51
Esporões,53.48
Figueiredo,56.02
Gualtar,60.17
Lamas,58.26
Mire de Tibães,52.06
Padim da Graça,54.53
Palmeira,52.78
Pedralva,53.80
Priscos,52.10
Ruilhe,52.61
Sequeira,49.13
Sobreposta,57.91
Tadim,58.69
Tebosa,52.69
União das freguesias de Arentim e Cunha,53.45
"União das freguesias de Braga (Maximinos, Sé e Cividade)",51.17
União das freguesias de Braga (São José de São Lázaro e São João do Souto),47.28
União das freguesias de Cabreiros e Passos (São Julião),51.04
"União das freguesias de Celeirós, Aveleda e Vimieiro",54.14
União das freguesias de Crespos e Pousada,48.81
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),53.08
União das freguesias de Este (São Pedro e São Mamede),55.20
União das freguesias de Ferreiros e Gondizalves,56.13
União das freguesias de Guisande e Oliveira (São Pedro),56.37
União das freguesias de Lomar e Arcos,56.42
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",54.91
União das freguesias de Merelim (São Pedro) e Frossos,57.28
União das freguesias de Morreira e Trandeiras,52.80
"União das freguesias de Nogueira, Fraião e Lamaçães",60.42
União das freguesias de Nogueiró e Tenões,57.85
"União das freguesias de Real, Dume e Semelhe",58.40
União das freguesias de Santa Lucrécia de Algeriz e Navarra,57.04
União das freguesias de Vilaça e Fradelos,52.62
Esposende,54.17
Antas,51.84
Forjães,52.80
Gemeses,53.86
União das freguesias de Apúlia e Fão,53.36
União das freguesias de Belinho e Mar,50.39
"União das freguesias de Esposende, Marinhas e Gandra",56.51
União das freguesias de Fonte Boa e Rio Tinto,53.09
União das freguesias de Palmeira de Faro e Curvos,55.41
Vila Chã,51
Terras de Bouro,39.52
Balança,42.09
Campo do Gerês,44.29
Carvalheira,36.07
Covide,33.99
