Local de residência (à data dos Censos 2021),Proporção da população residente com pelo menos o ensino secundário completo (%) por Local de residência (à data dos Censos 2021) e Sexo; Decenal
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão),29.37
União das freguesias de Silveiros e Rio Covo (Santa Eulália),34.67
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte,33.18
"União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães",39.48
União das freguesias de Vila Cova e Feitos,32.62
Várzea,40.38
Vila Seca,30.23
Braga,53.91
Adaúfe,35.76
Braga (São Vicente),59.87
Braga (São Vítor),64.35
Espinho,36.88
Esporões,42.04
Figueiredo,32.78
Gualtar,65.56
Lamas,39.17
Mire de Tibães,36.41
Padim da Graça,36.31
Palmeira,47.97
Pedralva,31.91
Priscos,38.72
Ruilhe,44.94
Sequeira,39.21
Sobreposta,38.26
Tadim,49.90
Tebosa,32.45
União das freguesias de Arentim e Cunha,38.11
"União das freguesias de Braga (Maximinos, Sé e Cividade)",52.84
União das freguesias de Braga (São José de São Lázaro e São João do Souto),55.21
União das freguesias de Cabreiros e Passos (São Julião),34.97
"União das freguesias de Celeirós, Aveleda e Vimieiro",39.24
União das freguesias de Crespos e Pousada,34.19
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente),35.90
União das freguesias de Este (São Pedro e São Mamede),47.70
União das freguesias de Ferreiros e Gondizalves,50.60
União das freguesias de Guisande e Oliveira (São Pedro),33.86
União das freguesias de Lomar e Arcos,47.64
"União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães",44.14
União das freguesias de Merelim (São Pedro) e Frossos,52.26
União das freguesias de Morreira e Trandeiras,38.11
"União das freguesias de Nogueira, Fraião e Lamaçães",68.41
União das freguesias de Nogueiró e Tenões,71.96
"União das freguesias de Real, Dume e Semelhe",54.88
União das freguesias de Santa Lucrécia de Algeriz e Navarra,39.69
União das freguesias de Vilaça e Fradelos,36.91
Esposende,43.17
Antas,37.39
Forjães,40.77
Gemeses,37.01
União das freguesias de Apúlia e Fão,42.81
União das freguesias de Belinho e Mar,32.82
"União das freguesias de Esposende, Marinhas e Gandra",51.34
União das freguesias de Fonte Boa e Rio Tinto,31.09
